longitude,latitude,forest_loss_prediction
81.3597,28.5017,0
82.4284,27.8105,0
82.6133,27.7151,1
80.3859,29.0169,0
80.7375,28.9827,1
82.8177,28.093,0
80.3815,28.993,0
81.8175,28.2281,1
85.8338,27.0207,0
84.9332,27.2488,0
82.4804,27.7904,0
81.3177,28.5712,0
80.75,29.3356,1
82.4951,27.8096,0
82.7636,27.7208,0
80.8535,28.8578,0
80.4299,28.7168,0
84.3866,27.5542,0
80.1897,28.8245,0
80.8202,29.3236,1
80.1855,28.8431,1
81.8998,28.2058,0
82.3256,27.9586,0
80.4957,28.961,1
80.2059,28.8648,0
80.39,29.0963,1
81.208,28.9848,0
84.8079,27.2604,0
82.6739,27.7331,0
84.398,27.548,0
82.4191,27.8104,1
80.3921,28.8483,0
80.4091,29.0176,1
87.1994,27.2206,0
80.4147,29.0162,0
81.6972,28.284,0
80.4739,28.9942,0
85.9378,27.1285,0
82.1117,28.0243,0
81.9872,28.0709,1
84.0822,27.5128,0
81.9027,28.1332,0
81.5264,28.6736,0
80.4242,29.0971,0
82.5843,27.7616,1
81.6767,28.3267,0
81.8063,28.6528,1
80.4602,28.7728,1
81.897,28.129,0
81.4943,28.3168,0
82.7702,27.9084,0
82.5591,28.0058,1
84.7979,27.3419,1
82.2291,27.994,0
80.7429,29.0688,0
81.9511,28.2168,1
82.1757,27.9302,0
81.4797,28.6322,0
82.0738,28.361,1
84.9652,27.2199,0
86.7411,26.6981,0
80.6047,29.0809,1
80.4975,29.1484,0
80.5955,28.9507,0
81.5507,28.2403,0
80.9581,28.5153,1
81.409,28.4598,0
81.7027,28.3127,0
80.3879,29.1089,0
82.7464,27.8977,0
85.5723,27.304,1
81.3454,28.5151,0
82.8571,27.7452,0
80.8912,28.6142,0
84.0478,27.5303,1
80.8988,29.1471,1
80.4484,28.7469,0
84.6638,27.5374,1
80.4398,29.1085,1
81.472,28.7297,0
81.8144,28.1889,0
82.9444,27.6577,1
81.5861,28.4564,0
81.9297,27.9811,1
81.437,28.2395,0
80.6207,29.0756,0
81.4401,28.5078,0
82.0919,28.4721,0
80.9909,28.93,0
81.524,28.3679,0
82.1808,27.9215,0
81.9667,28.2635,0
80.9968,28.8918,1
87.2643,26.7762,0
81.6805,28.3849,0
80.8831,28.5489,1
